,General Notes,,,,all the same settings as beaufort playback only except 5 movements,,
,,,,,"1/2 out ""Tape""",3/4 vox ,5/6 click
,,,,,option for stero /quad out,,"when on stereo, click goes to 3/4"
,,,,,"Sliders for each of the 5 ""tape"" files",,
,,,,,"Sliders for 1, 2, 4, 5 for vox",,click settings same as beaufort (Send to monitors)
,,,,,,,
,,,,,all savable,,
,Step,Timecode from start,Measure,action,,,
,,,,,,,
,,,,,,,
Mvmt 1,1,0:00.00,20,"play file 1, 1click, 1vox",,,
,2,0:29.824,35,,,,
,3,0:42.706,50,,,,
,4,0:55.941,65,,,,
,5,1:09.176,80,,,,
,6,1:20.647,93,,,,
,7,1:38.294,113,,,,
,8,1:58.588,136,,,,
,9,2:08.294,147,,,,
,10,2:26.824,168,,,,
,11,3:06.882,215,,,,
,12,3:13.059,222,,,,
,13,3:33.529,245,,,,
,14,3:50.647,265,,,,
,15,4:01.235,277,,,,
Mvmt 2,16,4:15.706,294,"fade out 1, 1click, 1vox 10000ms, play 2, 2click, 2vox",,,use reset-seek
,17,4:27.504,300,,,,
,18,4:57.380,316,,,,
,19,5:21.995,328,,,,
,20,5:45.585,341,,,,
,21,6:08.149,352,,,,
,22,6:23.135,359,,,,
,23,6:50.743,375,,,,
,24,7:06.038,385,,,,
,25,7:19.573,393,,,,
,26,7:52.506,409,,,,
Mvmt 3,27,08:13.090,419,"fade out 2, 2click, 2vox 10000ms, play 3, 3click",,,use reset-seek
,28,08:23.776,428,,,,
,29,8:35.649,438,,,,
,30,8:53.855,453,,,,
,31,9:19.184,472,,,,
,32,9:42.140,490,,,,
,33,9:55.200,498,,,,
,34,10:11.031,510,,,,
,35,10:23.301,521,,,,
,36,10:34.382,530,,,,
,37,10:48.839,538,,,,
Mvmt 4,38,10:58.921,546,"fade out 3, 3click, 10000ms, play 4, 4click 4vox",,,use reset-seek
,39,11:26.780,560,,,,
,40,11:52.153,573,,,,
,41,12:08.074,581,,,,
,42,12:34.442,594,,,,
,43,12:59.317,608,,,,
,44,13:20.213,621,,,,
,45,13:46.083,635,,,,
,46,14:18.865,653,,,,
Mvmt 5,47,14:40.644,667,"fade out 4, 4click, 4vox 10000ms, play 5, 5click, 5vox",,,use reset-seek
,48,14:52.182,678,,,,
,49,14:59.525,685,,,,
,50,15:29.945,714,,,,
,51,15:46.378,730,,,,
,52,16:03.161,746,,,,
,53,16:18.546,762,,,,
,54,16:28.161,773,,,,
,55,16:38.651,785,,,,
,56,16:48.966,796,,,,
,57,17:03.826,813,,,,
,58,17:15.714,827,,,,
,59,17:27.952,841,,,,
,60,17:45.434,861,,,,
,61,17:55.050,872,,,,
,62,18:05.539,884,,,,
,63,18:16.903,897,,,,
,64,18:31.002,914,,,,
,65,18:38.012,,"5, 5click, 5 vox fade out 10000ms",,,